# Velocity Control — Tablet Force Profile
# STL,tablet_R6.0_AR1.50_CV0.14.stl,R_mm,6.0,AR,1.5,CV,0.14
# target_rpm,8.0,kv,14.920775914865189,forcelim,12.5
# density_kg_m3,1200.0
# F_Y_max,0.00000,F_Y_min,-160.09255,Impulse_Ns,-354.926674

Time_s,F_X_N,F_Y_N,F_Z_N,Crank_RPM,Motor_torque_Nm
0.98800,0.00000,0.00000,0.00000,-0.1261,0.2181
0.99000,0.00000,0.00000,0.00000,-0.1123,0.1968
0.99200,0.00000,0.00000,0.00000,-0.0984,0.1753
0.99400,0.00000,0.00000,0.00000,-0.0844,0.1536
0.99600,0.00000,0.00000,0.00000,-0.0704,0.1318
0.99800,0.00000,0.00000,0.00000,-0.0564,0.1099
1.00000,0.00000,0.00000,0.00000,-0.0424,0.0880
1.00200,0.00000,0.00000,0.00000,-0.0285,0.0662
1.00400,0.00000,0.00000,0.00000,-0.0147,0.0445
1.00600,0.00000,0.00000,0.00000,-0.0011,0.0230
1.00800,0.00000,0.00000,0.00000,0.0124,0.0017
1.01000,0.00000,0.00000,0.00000,0.0256,-0.0193
1.01200,0.00000,0.00000,0.00000,0.0386,-0.0400
1.01400,0.00000,0.00000,0.00000,0.0513,-0.0602
1.01600,0.00000,0.00000,0.00000,0.0637,-0.0801
1.01800,0.00000,0.00000,0.00000,0.0758,-0.0995
1.02000,0.00000,0.00000,0.00000,0.0875,-0.1183
1.02200,0.00000,0.00000,0.00000,0.0988,-0.1366
1.02400,0.00000,0.00000,0.00000,0.1097,-0.1542
1.02600,0.00000,0.00000,0.00000,0.1202,-0.1712
1.02800,0.00000,0.00000,0.00000,0.1302,-0.1875
1.03000,0.00000,0.00000,0.00000,0.1397,-0.2031
1.03200,0.00000,0.00000,0.00000,0.1487,-0.2180
1.03400,0.00000,0.00000,0.00000,0.1572,-0.2320
1.03600,0.00000,0.00000,0.00000,0.1652,-0.2453
1.03800,0.00000,0.00000,0.00000,0.1726,-0.2577
1.04000,0.00000,0.00000,0.00000,0.1795,-0.2693
1.04200,0.00000,0.00000,0.00000,0.1857,-0.2800
1.04400,0.00000,0.00000,0.00000,0.1915,-0.2898
1.04600,0.00000,0.00000,0.00000,0.1966,-0.2987
1.04800,0.00000,0.00000,0.00000,0.2011,-0.3068
1.05000,0.00000,0.00000,0.00000,0.2051,-0.3138
1.05200,0.00000,0.00000,0.00000,0.2084,-0.3200
1.05400,0.00000,0.00000,0.00000,0.2112,-0.3252
1.05600,0.00000,0.00000,0.00000,0.2134,-0.3295
1.05800,0.00000,0.00000,0.00000,0.2149,-0.3329
1.06000,0.00000,0.00000,0.00000,0.2159,-0.3353
1.06200,0.00000,0.00000,0.00000,0.2163,-0.3369
1.06400,0.00000,0.00000,0.00000,0.2161,-0.3375
1.06600,0.00000,0.00000,0.00000,0.2153,-0.3372
1.06800,0.00000,0.00000,0.00000,0.2140,-0.3360
1.07000,0.00000,0.00000,0.00000,0.2117,-0.3339
1.07200,0.00000,0.00000,0.00000,0.2047,-0.3303
1.07400,0.00000,0.00000,0.00000,0.1953,-0.3193
1.07600,0.00000,0.00000,0.00000,0.1880,-0.3047
1.07800,0.00000,0.00000,0.00000,0.1837,-0.2934
1.08000,0.00000,0.00000,0.00000,0.1794,-0.2866
1.08200,0.00000,0.00000,0.00000,0.1748,-0.2800
1.08400,0.00000,0.00000,0.00000,0.1698,-0.2728
1.08600,0.00000,0.00000,0.00000,0.1645,-0.2650
1.08800,0.00000,0.00000,0.00000,0.1588,-0.2567
1.09000,0.00000,0.00000,0.00000,0.1528,-0.2478
1.09200,0.00000,0.00000,0.00000,0.1465,-0.2384
1.09400,0.00000,0.00000,0.00000,0.1399,-0.2286
1.09600,0.00000,0.00000,0.00000,0.1330,-0.2183
1.09800,0.00000,0.00000,0.00000,0.1259,-0.2075
1.10000,0.00000,0.00000,0.00000,0.1185,-0.1964
1.10200,0.00000,0.00000,0.00000,0.1109,-0.1849
1.10400,0.00000,0.00000,0.00000,0.1032,-0.1731
1.10600,0.00000,0.00000,0.00000,0.0952,-0.1610
1.10800,0.00000,0.00000,0.00000,0.0872,-0.1486
1.11000,0.00000,0.00000,0.00000,0.0790,-0.1360
1.11200,0.00000,0.00000,0.00000,0.0707,-0.1232
1.11400,0.00000,0.00000,0.00000,0.0623,-0.1103
1.11600,0.00000,0.00000,0.00000,0.0538,-0.0972
1.11800,0.00000,0.00000,0.00000,0.0454,-0.0840
1.12000,0.00000,0.00000,0.00000,0.0369,-0.0708
1.12200,0.00000,0.00000,0.00000,0.0285,-0.0576
1.12400,0.00000,0.00000,0.00000,0.0200,-0.0444
1.12600,0.00000,0.00000,0.00000,0.0117,-0.0313
